             incident_id              |                distinct_threat_types                 | entity_type |        entity_key         | risk_score | status | alert_count 
--------------------------------------+------------------------------------------------------+-------------+---------------------------+------------+--------+-------------
 21b714d7-2e72-4fae-9050-d840812edd5d | ["unknown_threat", "dga_dns_tunnel"]                 | source      | 192.168.10.16             |         37 | open   |           2
 f3b3b259-0738-4289-a4cd-e22e04bf96ea | ["dga_dns_tunnel"]                                   | source      | 192.168.10.25             |         20 | open   |           1
 28e876b0-0c45-4703-97a6-c654994703d2 | ["c2_beaconing", "unknown_threat"]                   | source      | 192.168.10.5              |         31 | open   |           3
 927c3188-f3e9-4ac5-94ab-1a8eae5b314e | ["dga_dns_tunnel"]                                   | source      | fe80::266e:96ff:fe4a:377a |         20 | open   |           1
 89cf7017-8e21-41ae-9146-6f36ad4f413c | ["dga_dns_tunnel"]                                   | source      | fe80::cd08:22a7:a40f:3d73 |         20 | open   |           1
 3c28ec8b-df13-472a-be95-bd35d7f06bdc | ["dga_dns_tunnel"]                                   | source      | 192.168.10.5              |         20 | open   |           1
 fdf5a3e2-42d0-45e2-8f3a-f0be16683cd0 | ["c2_beaconing", "unknown_threat"]                   | source      | 192.168.10.25             |         21 | open   |           2
 8b539f03-a930-418d-bb15-a2b835e9ceec | ["c2_beaconing", "unknown_threat"]                   | source      | 192.168.10.15             |         31 | open   |           2
 4b556e27-1e74-474d-8ce3-45992b6b1d21 | ["dga_dns_tunnel", "unknown_threat", "c2_beaconing"] | source      | 192.168.10.3              |         50 | open   |           3
 586850c2-77b0-4901-89a1-f2ce833b6533 | ["dga_dns_tunnel"]                                   | source      | fe80::223:aeff:fe9b:9567  |         20 | open   |           1
 535d91d9-69b5-46dd-b484-3cedd7fbe91b | ["dga_dns_tunnel"]                                   | source      | fe80::223:aeff:fe9b:adb3  |         20 | open   |           1
 ac088ce7-4dc8-4d5d-b0f0-6ae5f6b792a6 | ["dga_dns_tunnel", "unknown_threat"]                 | source      | 192.168.10.19             |         37 | open   |           2
 5eb59b16-69d4-48a5-b172-d41f3773eb4f | ["unknown_threat", "dga_dns_tunnel"]                 | source      | 192.168.10.50             |         28 | open   |           2
 7b4aa4f2-586e-4e9c-8279-2cca6e3a60a2 | ["c2_beaconing", "unknown_threat", "dga_dns_tunnel"] | source      | 192.168.10.17             |         61 | open   |           4
 2a544158-62c5-434f-8a8b-7022350aa4be | ["unknown_threat", "dga_dns_tunnel"]                 | source      | 192.168.10.12             |         37 | open   |           2
 5c7e5d9d-59d6-433e-8e35-4ef1c3cda405 | ["dga_dns_tunnel"]                                   | source      | fe80::baac:6fff:fe36:ba8  |         20 | open   |           1
 c2ca2f10-d654-47cd-85e7-949b7e7fe933 | ["dga_dns_tunnel"]                                   | source      | 192.168.10.9              |         20 | open   |           1
 c8e5cec2-bbc8-47d1-ab82-a2332a588bc9 | ["c2_beaconing"]                                     | source      | 192.168.10.8              |         13 | open   |           1
 d1a7d04b-2974-4791-9712-e1e0a6fd9fc0 | ["dga_dns_tunnel"]                                   | source      | 192.168.10.14             |         20 | open   |           1
 a43c0a1d-7688-4472-aea8-37fd9e6cbf23 | ["c2_beaconing", "dga_dns_tunnel"]                   | source      | 192.168.10.51             |         39 | open   |           3
 edcaa335-af97-4f14-b989-8b79165dc200 | ["dga_dns_tunnel"]                                   | source      | 192.168.10.8              |         20 | open   |           1
 9b7b7b03-0539-46a0-bd8e-c7ebeea2dc62 | ["dga_dns_tunnel"]                                   | source      | fe80::8cc1:7756:5ffc:823f |         20 | open   |           1
 6c7b52a9-0fca-4d5b-a36c-976d1cd6ec6b | ["c2_beaconing", "unknown_threat"]                   | source      | 192.168.10.14             |         29 | open   |           3
 11016e54-640c-48d3-ad68-3b0fc2ca4b36 | ["dga_dns_tunnel"]                                   | source      | 192.168.10.15             |         20 | open   |           1
 e33c1bd3-30bc-4478-b331-0913b41819d7 | ["c2_beaconing"]                                     | source      | 192.168.10.12             |         13 | open   |           2
 ab0e88e5-1dbf-4639-bf0e-bc2c0eb52820 | ["dga_dns_tunnel"]                                   | source      | fe80::3e30:c3c4:d72f:ae4c |         20 | open   |           1
 37cb64c9-a30b-4ee5-8af6-af6255802105 | ["unknown_threat"]                                   | source      | 192.168.10.9              |         12 | open   |           1
(27 rows)

